MaTruong,TenTruong
133,THPT Nguyễn Văn Cừ
134,"THPT Nguyễn Du  :Xã Hoài Hương, H. Hoài Nhơn"
135,THPT Nguyễn Trãi
136,"THPT Phan Đình Phùng  :Phường Xuân Phú , thị xã Sông Cầu"
137,THPT Hoàng Hoa Thám
138,Trường THPT Minh Long
139,THPT Trần Suyền
140,Trường THPT Nguyễn Công Phương
141,"THPT Võ Giữ  :Xã Ân Tín, H. Hoài Ân"
142,Sở GD & ĐT Bình Định
143,Trường THPT Vạn Tường
144,THPT Số 1 Phù Cát
145,THPT Lê Thành Phương
146,"Trường THPT Lý Sơn  :Xã An Vĩnh, H. Lý Sơn"
147,"Trường THPT Hoàng Hoa Thám  :Ph. Yên Thế, thành phố Pleiku, Gia Lai"
148,THPT Võ Giữ
149,THPT Lê Lợi  :Ph. Lê Lợi - Tp Kon Tum - Kon Tum
150,"THPT Quang Trung  :TT Phú Phong, H. Tây Sơn"
151,"Trường THPT Nguyễn Trường Tộ  :Xã Ia Nan, H. Đức Cơ, Gia Lai"
152,TT GDNN-GDTX An Nhơn
153,"THPT Lê Trực  :Xã Tiến Hóa, Huyện Tuyên Hoá, Tỉnh Quảng Bình"
154,THPT An Lão
155,THPT Số 3 Phù Cát
156,Trung tâm GD Nghề nghiệp - GDTX H. Tây Hòa
157,Trường THPT Trà Bồng
158,THPT Trần Quốc Toản
159,TT GDNN-GDTX Tuy Phước
160,THPT Tôn Đức Thắng
161,THPT Ninh Bình - Bạc Liêu
162,Trường THPT Huỳnh Thúc Kháng
163,Trường THPT Pleime
164,THPT Tô Văn Ơn
165,Trường Quốc tế Châu Á Thái Bình Dương - Gia Lai
166,Trường THPT Nguyễn Trãi
167,TT GDNN VÀ GDTX Quận Tân Bình
168,THPT Ngô Lê Tân
169,Trường THPT Ba Gia
170,"Trường THPT Thu Xà  :Xã Nghĩa Hoà, H. Tư Nghĩa"
171,"THPT Lê Lợi  :Thị trấn La Hai, Đồng Xuân"
172,THPT Huỳnh Thúc Kháng
173,"TH, THCS&THPT Ischool Quy Nhơn"
174,"THPT Trần Quang Diệu  :Xã Ân Tường Tây, H. Hoài Ân"
175,"THPT Số 1 Phù Cát  :TT Ngô Mây, H. Phù Cát"
176,THPT Mỹ Thọ
177,"PT DTNT Tỉnh Bình Định  :227 Nguyễn Thị Minh khai, TP. Quy Nhơn"
178,"THPT Sào Nam  :H. Duy Xuyên, Quảng Nam"
179,Trung tâm GDTX Tỉnh Bình Định
180,Trường THPT Số 1 Nghĩa Hành
181,Trường THPT Tư thục Trương Định
182,"THPT Phan Bội Châu  :TT Bồng Sơn, H. Hoài Nhơn"
183,THPT Phạm Văn Đồng
184,THPT Lê Hồng Phong
185,Trường THPT Hoàng Hoa Thám
186,THPT Trần Quốc Tuấn
187,"THPT Lê Quý Đôn  :Số 27, Trần Nhật Duật, Tp. Buôn Ma Thuột"
188,THPT Diễn Châu 4
189,"THPT An Lão  :Xã An Hòa , H. An Lão"
190,THPT Phan Bội Châu  :Xã Ya Chim - Tp Kon Tum - Kon Tum
191,THPT Nguyễn Văn Linh
192,Trường THPT Võ Văn Kiệt
193,Trường THPT Dân tộc nội trú tỉnh Quảng Ngãi
194,"THPT Tam Quan  :TT Tam Quan, H. Hoài Nhơn"
195,THPT Hoàng Mai 2
196,"THPT Số 2 Phù Mỹ  :TT Bình Dương, H. Phù Mỹ"
197,Trường THPT Trần Quốc Tuấn
198,"Trường THPT Lê Trung Đình  :Ph. Chánh Lộ, Tp. Quảng Ngãi"
199,THPT Phú Quốc
200,"THPT Số 3 Tuy Phước  :Xã Phước Hòa, H. Tuy Phước"
201,"Trường THPT Tôn Đức Thắng  :Xã Ia Din, H. Đức Cơ, Gia Lai"
202,"Trường THPT Quang Trung  :27 Chu Văn An, Ph. An Phú, thị xã An Khê, Gia Lai"
203,"THCS và THPT Võ Thị Sáu  :Xã An Ninh Tây, H. Tuy An"
204,"Trường THPT Lương Thế Vinh  :TTr. KBang, H. KBang , Gia Lai"
205,"THPT Ngô Lê Tân  :Xã Cát Khánh, H.Phù Cát"
206,"Quốc Học Quy Nhơn  :09 Trần Phú, TP. Quy Nhơn"
207,THPT Trường Chinh
208,"Trường THPT Dân Tộc Nội Trú Đông Gia Lai  :Ph. An Tân, TX An Khê, Gia Lai"
209,THPT Bách Việt
210,TT GDNN-GDTX Mang Yang
211,"Trường THPT Lê Thánh Tông  :70 Nguyễn Huệ, thị xã Ayun Pa, Gia Lai"
212,TT GDTX Tỉnh
213,"THPT Tăng Bạt Hổ  :TT Bồng Sơn, H. Hoài Nhơn"
214,"Trường THPT Lê Quý Đôn  :TTr. Chư Prông, H. Chư Prông , Gia Lai"
215,"THPT Võ Lai  :Xã Tây Giang, H. Tây Sơn"
216,"THCS và THPT Võ Nguyên Giáp  :Xuân Cảnh, Tx Sông Cầu"
217,"Trường THPT Số 1 Nghĩa Hành  :TTr. Chợ Chùa, H. Nghĩa Hành"
218,"Trường THPT Nguyễn Bỉnh Khiêm  :06 Phan Đình Phùng,TTr. Chư Sê, H. Chư Sê, Gia Lai"
219,Trường THPT Số 2 Nghĩa Hành
220,Trường THPT Lý Sơn
221,THCS THPT Tân Phú
222,"THPT Nguyễn Văn Linh  :Xã Hòa Hiệp Nam, H. Đông Hoà"
223,"THPT Lê Trung Kiên  :Thị trấn Hòa Vinh, H. Đông Hòa"
224,THPT Nguyễn Thái Bình
225,Trường THPT Số 2 Tư Nghĩa
226,"THPT Nguyễn Du  :Thị trấn Hai Riêng, H. Sông Hinh"
227,THPT An Phước
228,THPT Đinh Tiên Hoàng
229,"THCS và THPT Võ Nguyên Giáp  :Xã Xuân Cảnh, Thị xã Sông Cầu"
230,"Trung tâm GDTX Tỉnh Bình Định  :35 Nguyễn Huệ, Quy Nhơn"
231,THCS và THPT Khai Minh
232,Trường THPT Trần Cao Vân
233,"THPT Trần Phú  :Thị Trấn Chí Thạnh, H. Tuy An"
234,"THPT Lê Thành Phương  :An Mỹ, Tuy An"
235,"TH, THCS&THPT Ischool Quy Nhơn  :P. Nhơn Phú, TP. Quy Nhơn"
236,"THPT Đồng Yên  :Xã Đồng Yên, H. Bắc Quang"
237,Trường THPT chuyên Lê Khiết
238,"Trường THPT Phan Bội Châu  :Ph. Ia Kring, thành phố Pleiku, Gia Lai"
239,THPT Quỳnh Lưu 2
240,Trường THPT Trường Chinh
241,"Trường THPT Lê Quý Đôn  :Xã Bình Trung, H. Bình Sơn"
242,THPT Buôn Ma Thuột
243,Trường THPT Sơn Hà
244,"THPT Phan Bội Châu  :Thị trấn Củng Sơn, H. Sơn Hòa"
245,Trường THPT Lý Thường Kiệt
246,Trường THPT Ya Ly
247,"PT DTNT THCS&THPT An Lão  :Thị trấn An Lão, huyện An Lão, tỉnh Bình Định"
248,PT DTNT Sa Thầy  :H. Sa Thầy - Kon Tum
249,"Trường THPT Sơn Hà  :TTr. Di Lăng, H. Sơn Hà"
250,"TT GDNN-GDTX An Nhơn  :599 Ngô Gia Tự, Ph. Bình Định, thị xã An Nhơn"
251,THPT Nguyễn Văn Thoại
252,Trường THPT Anh hùng Núp
253,THPT Đăk Glong
254,PT DTNT Ngọc Hồi  :H. Ngọc Hồi - KonTum
255,Trường THPT Nguyễn Trường Tộ
256,"Trường THPT Ba Tơ  :TTr. Ba Tơ, H. Ba Tơ"
257,"Trường THPT Dân tộc nội trú tỉnh Quảng Ngãi  :Ph. Quảng Phú, Tp. Quảng Ngãi"
258,PT DTNT tỉnh Kon Tum  :Ph. Quyết Thắng - Tp Kon Tum - Kon Tum
259,PT DTNT tỉnh Kon Tum
260,Trường THPT Ba Tơ
261,Phổ thông Dân tộc Nội trú tỉnh Khánh Hòa
262,"Trường THPT Hà Huy Tập  :TTr. Kông Chro, H. Kông Chro, Gia Lai"
263,"Trường PT Dân tộc Nội trú tỉnh  :Ph. Yên Thế, thành phố Pleiku, Gia Lai"
264,"Trường THPT Quang Trung  :Xã Sơn Thành, H. Sơn Hà"
265,"THPT Trường Chinh  :TTr. Tân Sơn, Ninh Sơn"
266,"Trường THPT Đinh Tiên Hoàng  :Xã Ia Dreh, H. Krông Pa, Gia Lai"
267,THPT Ea H'leo
268,Trường THPT Số 1 Tư Nghĩa
269,"THPT Hà Huy Tập  :Xã Vĩnh Thạnh, Thành phố Nha Trang"
270,"Trường THPT Nguyễn Chí Thanh  :138-Nguyễn Chí Thanh. P.Chi Lăng, TP Pleiku, Gia Lai"
271,PT DTNT Vĩnh Thạnh
272,"Trường THPT Số 2 Tư Nghĩa  :Xã Nghĩa Thuận, H. Tư Nghĩa"
273,THCS và THPT Nguyễn Bá Ngọc
274,THPT Trần Bình Trọng
275,Trường THPT Nguyễn Huệ
276,THPT Ngô Gia Tự 
277,Khác
278,THPT Nguyễn Du (từ 2018)  :Xã Hoài Hương
